id,No,No2,登録番号,社名,代表者名1,本店支店,住所,URL,免許証番号,法人個人の別,免許の有効期間,最初の免許年月日,称号・名称,代表者名2,電話番号,加入している協会,資本金,業種1,業種2,業種3,業種4,事務所名称,事務所の区分,設置年月日,所在地,TEL
150001,54,鹿児島県,(13)第000879号,ＭＢＣ開発株式会社,陶山　賢治,谷山店,鹿児島県鹿児島市東谷山２－９－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46000879,鹿児島県知事免許　(12)第000879号,法人,H29年02月01日からR04年01月31日まで,S51年01月31日,ＭＢＣ開発株式会社,陶山　賢治,099-216-2000,（公社）全国宅地建物取引業保証協会,"200,000千円",漁業,建設業,サービス業,,本店,主,1/31/1994,"〒892-0845
鹿児島県鹿児島市之口町１－１",099-216-2000
150002,55,鹿児島県,(13)第000879号,ＭＢＣ開発株式会社,陶山　賢治,ナポリ通り店,鹿児島県鹿児島市高麗町３－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46000879,鹿児島県知事免許　(12)第000879号,法人,H29年02月01日からR04年01月31日まで,S51年01月31日,ＭＢＣ開発株式会社,陶山　賢治,099-216-2000,（公社）全国宅地建物取引業保証協会,"200,000千円",漁業,建設業,サービス業,,本店,主,1/31/1994,"〒892-0845
鹿児島県鹿児島市之口町１－１",099-216-2000
150003,56,鹿児島県,(13)第000879号,ＭＢＣ開発株式会社,陶山　賢治,鹿大前店,鹿児島県鹿児島市荒田２－５８－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46000879,鹿児島県知事免許　(12)第000879号,法人,H29年02月01日からR04年01月31日まで,S51年01月31日,ＭＢＣ開発株式会社,陶山　賢治,099-216-2000,（公社）全国宅地建物取引業保証協会,"200,000千円",漁業,建設業,サービス業,,本店,主,1/31/1994,"〒892-0845
鹿児島県鹿児島市之口町１－１",099-216-2000
150004,57,鹿児島県,(13)第000879号,ＭＢＣ開発株式会社,陶山　賢治,鹿児島中央駅西口店,鹿児島県鹿児島市西田２－２０－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46000879,鹿児島県知事免許　(12)第000879号,法人,H29年02月01日からR04年01月31日まで,S51年01月31日,ＭＢＣ開発株式会社,陶山　賢治,099-216-2000,（公社）全国宅地建物取引業保証協会,"200,000千円",漁業,建設業,サービス業,,本店,主,1/31/1994,"〒892-0845
鹿児島県鹿児島市之口町１－１",099-216-2000
150005,58,鹿児島県,(13)第000938号,光洋不動産,　冨士江,本店,鹿児島県鹿児島市下荒田３－１７－２４－４０５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46000938,鹿児島県知事免許　(12)第000938号,個人,H29年03月01日からR04年02月28日まで,S51年02月28日,光洋不動産,　冨士江,099-286-1087,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,3/1/1976,"〒890-0056
鹿児島県鹿児島市下荒田３－１７－２４－４０５",099-286-1087
150006,59,鹿児島県,(13)第000965号,大丸住宅,藤崎　良隆,本店,鹿児島県鹿屋市川東町７２０４―６,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46000965,鹿児島県知事免許　(12)第000965号,個人,H29年03月15日からR04年03月14日まで,S51年03月14日,大丸住宅,藤崎　良隆,0994-44-3025,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,,,,本店,主,1/13/1985,"〒893-0031
鹿児島県鹿屋市川東町７２０４―６",0994-44-3025
150007,60,鹿児島県,(13)第000996号,株式会社橋三建設,緒方　敦江,本店,鹿児島県鹿児島市伊敷１－６－３３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46000996,鹿児島県知事免許　(12)第000996号,法人,H29年04月15日からR04年04月14日まで,S51年04月14日,株式会社橋三建設,緒方　敦江,099-220-5511,（公社）全国宅地建物取引業保証協会,"10,000千円",建設業,その他,,,本店,主,4/15/1976,"〒890-0008
鹿児島県鹿児島市伊敷１－６－３３",099-220-5511
150008,61,鹿児島県,(13)第001003号,有限会社桜井不動産,櫻井　寛之,本店,鹿児島県鹿児島市清水町１４―６,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001003,鹿児島県知事免許　(12)第001003号,法人,H29年05月01日からR04年04月30日まで,S51年04月30日,有限会社桜井不動産,櫻井　寛之,099-247-6200,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,不動産管理業,,,本店,主,1/13/1991,"〒892-0802
鹿児島県鹿児島市清水町１４―６",099-247-6200
150009,62,鹿児島県,(13)第001004号,能勢産業株式会社,貴島　智義,本店,鹿児島県鹿児島市西千石町８－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001004,鹿児島県知事免許　(12)第001004号,法人,H29年05月01日からR04年04月30日まで,S51年04月30日,能勢産業株式会社,貴島　智義,099-223-3750,（公社）全国宅地建物取引業保証協会,"30,000千円",建設業,金融･保険業,不動産賃貸業,,本店,主,5/1/1976,"〒892-0847
鹿児島県鹿児島市西千石町８－１",099-223-3750
150010,63,鹿児島県,(13)第001022号,栫不動産,栫　弘昭,本店,鹿児島県指宿市西方６４７,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001022,鹿児島県知事免許　(12)第001022号,個人,H29年05月01日からR04年04月30日まで,S51年04月30日,栫不動産,栫　弘昭,0993-25-3727,（公社）全国宅地建物取引業保証協会,0千円,農業,不動産賃貸業,,,本店,主,10/10/1981,"〒891-0311
鹿児島県指宿市西方６４７",0993-25-3727
150011,64,鹿児島県,(13)第001052号,昭和不動産,德田　和昭,本店,鹿児島県霧島市隼人町見次８８７,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001052,鹿児島県知事免許　(12)第001052号,個人,H29年06月01日からR04年05月31日まで,S51年05月31日,昭和不動産,德田　和昭,0995-70-7121,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,,,,本店,主,6/1/1976,"〒899-5117
鹿児島県霧島市隼人町見次８８７",0995-70-7121
150012,65,鹿児島県,(13)第001061号,霧島開発株式会社,永山　在紀,本店,鹿児島県霧島市牧園町高千穂３９１７－３１１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001061,鹿児島県知事免許　(12)第001061号,法人,H29年06月01日からR04年05月31日まで,S51年05月31日,霧島開発株式会社,永山　在紀,0995-78-2136,（公社）全国宅地建物取引業保証協会,"50,000千円",建設業,不動産管理業,その他,,本店,主,6/1/1976,"〒899-6603
鹿児島県霧島市牧園町高千穂３９１７－３１１",0995-78-2136
150013,66,鹿児島県,(13)第001066号,横山不動産,横山　弘人,本店,鹿児島県肝属郡肝付町前田１７８―１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001066,鹿児島県知事免許　(12)第001066号,個人,H29年06月01日からR04年05月31日まで,S51年05月31日,横山不動産,横山　弘人,0994-65-3337,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,4/25/1979,"〒893-1206
鹿児島県肝属郡肝付町前田１７８―１",0994-65-3337
150014,67,鹿児島県,(13)第001072号,株式会社総合開発,竹下　豪,本店,鹿児島県鹿児島市上之園町３３－１２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001072,鹿児島県知事免許　(12)第001072号,法人,H29年06月15日からR04年06月14日まで,S51年06月14日,株式会社総合開発,竹下　豪,099-252-1717,（公社）全国宅地建物取引業保証協会,"50,000千円",不動産賃貸業,不動産管理業,その他,,本店,主,10/10/1986,"〒890-0055
鹿児島県鹿児島市上之園町３３－１２",099-252-1717
